id,adr,lat,long
299,RD1,627143.0,4950350.0
300,rue de paris,258191.0,4920271.0
301,rue du faubourg saint ma,257920.0,4919877.0
302,1 avenue de creil,257820.0,4920657.0
303,avenue du poteau,259253.0,4922062.0
304,D932A,261499.0,4922482.0
305,Route de Nanteuil,263234.0,4919527.0
306,CD932A,261499.0,4922482.0
307,D1324,266958.0,4921583.0
308,D923 ROUTE DE MERU,223472.0,4918238.0
309,Rue guy moquet,228768.0,4922863.0
310,intersection D118 et cc,232817.0,4919394.0
311,Rue Emile Decourtray,224171.0,4917018.0
312,D 1001,224437.0,4915640.0
313,187 rue Jacques Prevert,225752.0,4916997.0
314,RUE HENRI HENNO,225029.0,4916638.0
315,route départementale D 4,226197.0,4919993.0
316,Intersection D 924 / D 4,224852.0,4916692.0
317,Intersection D929/ route,229347.0,4922996.0
318,Départementale 1001,223504.0,4918015.0
319,Route nationale,223544.0,4918060.0
320,D1001 SORTIE DU ROND POI,223141.0,4917375.0
321,D105,221239.0,4918321.0
322,route de Chantilly,248957.0,4919904.0
323,av de la plaine des aigl,248626.0,4919029.0
324,avenue de la paix,245887.0,4923141.0
325,rond point du VER BOIS,246687.0,4922083.0
326,route départementale 924,249149.0,4918319.0
327,avenue Maréchal JOFFRE,246294.0,4918975.0
328,D 924 A,249788.0,4917706.0
329,Lieu Rond point de la ta,248460.0,4918976.0
330,D44,243417.0,4921179.0
331,Rd 44,242684.0,4921124.0
332,D 606E,252903.0,4922878.0
333,RD44,243992.0,4921175.0
334,RN330,270237.0,4911342.0
335,RD 84,273319.0,4908655.0
336,D 922,287194.0,4914767.0
337,,271161.0,4911788.0
338,intersection D922/C7,287189.0,4914769.0
339,rn 330,270451.0,4911414.0
340,Nationale 2,280957.0,4914712.0
341,Intersection D922 et C7,287185.0,4914771.0
342,D84,273802.0,4908840.0
343,D 84,270111.0,4909369.0
344,RD 84,273827.0,4908850.0
345,CD100 Hameau de Ducy,273983.0,4920624.0
